In frame 2711, True Prediction: grasper
In frame 7633, False Prediction: grasper should be No Instrument
In frame 7674, False Prediction: grasper should be cautery
In frame 7674, False Prediction: cautery should be No Instrument
In frame 7675, False Prediction: grasper should be cautery
In frame 7675, False Prediction: cautery should be No Instrument
In frame 7780, True Prediction: cautery
In frame 7780, False Prediction: grasper should be No Instrument
In frame 7780, False Prediction: grasper should be No Instrument
In frame 7786, False Prediction: grasper should be cautery
In frame 7786, False Prediction: cautery should be No Instrument
In frame 8003, False Prediction: cautery should be No Instrument
In frame 8003, False Prediction: grasper should be No Instrument
In frame 8076, True Prediction: cautery
In frame 8270, True Prediction: cautery
In frame 8431, True Prediction: cautery
In frame 8431, False Prediction: grasper should be No Instrument
In frame 8437, True Prediction: cautery
In frame 8437, False Prediction: grasper should be No Instrument
In frame 8642, True Prediction: cautery
In frame 8642, False Prediction: grasper should be No Instrument
In frame 8648, True Prediction: cautery
In frame 8648, False Prediction: grasper should be No Instrument
In frame 8654, False Prediction: grasper should be cautery
In frame 8654, False Prediction: cautery should be No Instrument
In frame 8655, True Prediction: cautery
In frame 8655, False Prediction: grasper should be No Instrument
In frame 8655, False Prediction: grasper should be No Instrument
In frame 8807, True Prediction: cautery
In frame 8807, False Prediction: cautery should be No Instrument
In frame 8807, False Prediction: grasper_2 should be No Instrument
In frame 8808, True Prediction: cautery
In frame 8808, False Prediction: grasper should be No Instrument
In frame 8824, True Prediction: cautery
In frame 8862, True Prediction: cautery
In frame 9008, True Prediction: cautery
In frame 9008, False Prediction: grasper should be No Instrument
In frame 9009, True Prediction: cautery
In frame 9009, False Prediction: grasper should be No Instrument
In frame 9030, True Prediction: cautery
In frame 9030, False Prediction: grasper should be No Instrument
In frame 9179, False Prediction: grasper should be cautery
In frame 9179, False Prediction: cautery should be No Instrument
In frame 9180, False Prediction: grasper should be cautery
In frame 9180, False Prediction: cautery should be No Instrument
In frame 9195, True Prediction: cautery
In frame 9195, False Prediction: grasper should be No Instrument
In frame 9196, True Prediction: cautery
In frame 9196, False Prediction: grasper should be No Instrument
In frame 9353, False Prediction: grasper should be cautery
In frame 9353, False Prediction: cautery should be No Instrument
In frame 9354, False Prediction: grasper should be cautery
In frame 9354, False Prediction: cautery should be No Instrument
In frame 9371, False Prediction: cautery should be grasper_1
In frame 9371, False Prediction: grasper should be No Instrument
In frame 9372, False Prediction: cautery should be grasper_1
In frame 9396, True Prediction: grasper
In frame 9396, False Prediction: cautery should be No Instrument
In frame 9403, False Prediction: cautery should be grasper_1
In frame 9403, False Prediction: grasper should be No Instrument
In frame 9451, True Prediction: cautery
In frame 9458, True Prediction: cautery
In frame 9458, False Prediction: grasper should be No Instrument
In frame 9598, False Prediction: cautery should be grasper_1
In frame 9599, False Prediction: cautery should be grasper_1
In frame 9599, False Prediction: cautery should be No Instrument
In frame 9656, False Prediction: grasper should be No Instrument
In frame 9704, True Prediction: grasper
In frame 9704, False Prediction: cautery should be No Instrument
In frame 9711, True Prediction: grasper
In frame 9893, True Prediction: cautery
In frame 9893, False Prediction: grasper should be No Instrument
In frame 9900, True Prediction: cautery
In frame 9900, False Prediction: grasper should be No Instrument
In frame 9964, True Prediction: grasper
0.5592105263157895
